FEATURE_SIZE,UNDIRECTED,CLASS_WEIGHTS,LEARNING_RATE,WEIGHT_DECAY,ADAM_EPSILON,NUM_EPOCHS,TOLERANCIA,HIDDEN_DIMS,Val score
big,True,None,0.01,0,1e-08,100,10,"[300, 300]",0.5688980548054483
big,True,None,0.01,0,1e-08,100,10,"[400, 300]",0.5666698925626334
big,True,None,0.01,0,1e-08,100,10,"[300, 100]",0.5657912857597585
big,True,balanced,0.01,0,1e-08,100,10,"[300, 100]",0.5548295650953098
big,True,balanced,0.01,0,1e-08,100,10,"[400, 300]",0.5537738727004377
big,True,balanced,0.01,0,1e-08,100,10,"[300, 300]",0.5516738570663549
big,True,None,0.01,0,1e-08,100,10,[300],0.5330574667710787
big,True,balanced,0.01,0,1e-08,100,10,[300],0.5179956467582412
small,True,None,0.01,0,1e-08,100,10,"[400, 300]",0.5171687509744307
small,True,None,0.01,0,1e-08,100,10,"[300, 300]",0.5131415975998149
small,True,None,0.01,0,1e-08,100,10,"[300, 100]",0.5007395662967887
small,True,balanced,0.01,0,1e-08,100,10,"[400, 300]",0.4729452853299804
small,True,balanced,0.01,0,1e-08,100,10,"[300, 100]",0.4712321887077868
small,True,balanced,0.01,0,1e-08,100,10,"[300, 300]",0.4673582250946468
small,True,None,0.01,0,1e-08,100,10,[300],0.4309794133057565
small,True,balanced,0.01,0,1e-08,100,10,[300],0.3887475654524762
