param_nb__alpha,param_nb__fit_prior,param_vecto__max_features,param_vecto__min_df,param_vecto__ngram_range,val_score
0.01,True,,1,"(1, 2)",0.455615332555446
0.01,False,,1,"(1, 2)",0.452642819051191
0.01,True,,2,"(1, 2)",0.4519982075352733
0.05,False,,2,"(1, 2)",0.4489715039670699
0.001,True,,1,"(1, 2)",0.4474953793771911
0.05,True,,2,"(1, 2)",0.44716077068759347
0.05,False,,1,"(1, 2)",0.44572620092402976
0.05,True,60000,2,"(1, 2)",0.44348915966255265
0.05,True,60000,1,"(1, 2)",0.44296262916059403
0.1,False,,2,"(1, 2)",0.442218483118799
0.001,True,,2,"(1, 2)",0.4417763223431617
0.01,True,60000,1,"(1, 2)",0.4415061266670815
0.01,True,60000,2,"(1, 2)",0.44108150295483295
0.01,False,,2,"(1, 2)",0.4410494639445889
0.05,True,30000,2,"(1, 2)",0.4394116869690651
0.05,False,60000,1,"(1, 2)",0.4389840072150065
0.05,False,60000,2,"(1, 2)",0.43877005343432635
0.1,False,60000,1,"(1, 2)",0.4383099804246523
0.05,True,30000,1,"(1, 2)",0.43826616095706233
0.1,True,60000,2,"(1, 2)",0.43823234878984824
0.1,True,60000,1,"(1, 2)",0.43753166063209525
0.1,False,60000,2,"(1, 2)",0.43736645879512026
0.001,False,,1,"(1, 2)",0.43705298292927103
0.1,False,,1,"(1, 2)",0.43635428291433753
0.001,True,60000,1,"(1, 2)",0.43513423842061705
0.001,True,60000,2,"(1, 2)",0.435119558094717
0.05,True,,1,"(1, 2)",0.43486699525224015
0.1,True,,2,"(1, 2)",0.4340499416359646
0.01,True,30000,2,"(1, 2)",0.43293334382134063
0.01,True,30000,1,"(1, 2)",0.4320539170695542
0.1,True,30000,1,"(1, 2)",0.42999397541598156
0.001,False,,2,"(1, 2)",0.42973660557176296
0.1,False,30000,1,"(1, 2)",0.4291290152651465
0.1,False,30000,2,"(1, 2)",0.4284581005628789
0.1,True,30000,2,"(1, 2)",0.4284030723401276
0.01,True,60000,1,"(1, 1)",0.42818856710902353
0.01,False,60000,1,"(1, 2)",0.42506861402227736
0.01,True,30000,1,"(1, 1)",0.4249731649316639
0.01,True,,1,"(1, 1)",0.42494441380661646
0.05,False,30000,2,"(1, 2)",0.4245966433658029
0.001,True,30000,2,"(1, 2)",0.42451747574931203
0.05,True,,10,"(1, 2)",0.4240470841836584
0.05,True,30000,10,"(1, 2)",0.4240470841836584
0.05,True,60000,10,"(1, 2)",0.4240470841836584
0.05,False,30000,1,"(1, 2)",0.42380686784222676
0.01,True,,2,"(1, 1)",0.4236390016434395
0.01,True,60000,2,"(1, 1)",0.4236390016434395
0.01,True,30000,2,"(1, 1)",0.4236125532446773
0.01,False,60000,2,"(1, 2)",0.4234033551213494
0.001,True,30000,1,"(1, 2)",0.42332544024479174
0.001,True,60000,1,"(1, 1)",0.4221177052648223
0.05,True,,2,"(1, 1)",0.4215366497149121
0.05,True,60000,2,"(1, 1)",0.4215366497149121
0.01,True,60000,10,"(1, 2)",0.4215302068116875
0.01,True,30000,10,"(1, 2)",0.4215302068116875
0.01,True,,10,"(1, 2)",0.4215302068116875
0.05,True,30000,2,"(1, 1)",0.42145195352105597
0.05,True,30000,1,"(1, 1)",0.42108013320150106
0.001,True,,1,"(1, 1)",0.4208633754336178
0.1,True,30000,10,"(1, 2)",0.4208260170523534
0.1,True,,10,"(1, 2)",0.4208260170523534
0.1,True,60000,10,"(1, 2)",0.4208260170523534
0.001,False,60000,1,"(1, 2)",0.42004456552235697
0.001,False,60000,2,"(1, 2)",0.41962263226282037
0.001,True,30000,1,"(1, 1)",0.4188568896361084
0.001,True,,2,"(1, 1)",0.41884993614612953
0.001,True,60000,2,"(1, 1)",0.41884993614612953
0.001,True,30000,2,"(1, 1)",0.4187074731458422
0.05,False,,1,"(1, 1)",0.4166761767366592
0.1,False,,2,"(1, 1)",0.41649676667493896
0.1,False,60000,2,"(1, 1)",0.41649676667493896
0.05,False,60000,1,"(1, 1)",0.41646491046387757
0.1,False,30000,2,"(1, 1)",0.4159596830862229
0.1,False,30000,1,"(1, 1)",0.41588907160282446
0.05,False,,2,"(1, 1)",0.41563736311383415
0.05,False,60000,2,"(1, 1)",0.41563736311383415
0.05,True,60000,1,"(1, 1)",0.41555581256840946
0.05,False,30000,2,"(1, 1)",0.41548117009474145
0.05,False,30000,1,"(1, 1)",0.4153158662895713
0.05,True,,1,"(1, 1)",0.4152801415610832
0.1,False,60000,1,"(1, 1)",0.414980554787525
